矣	qvq
意	qvh
億	qvk
憶	qvk
抑	qik
臆	qvk
疑	ngv
擬	ngvq
薿	ngvq
嶷	ngvk
熙	hv
熹	hv
喜	hvq
奭	hvk
丌	ɡv
其	ɡv
旗	ɡv
期	ɡv
棋	ɡv
淇	ɡv
祺	ɡv
綦	ɡv
騏	ɡv
忌	ɡvh
綦	ɡvh
極	ɡvk
基	kv
姬	klv
箕	kv
己	kvq
紀	kvq
記	kvh
亟	kvk
朸	krvk
棘	krvk
襋	krvk
僛	khv
欺	khv
屺	khvq
杞	khvq
芑	khvq
起	khlvq
亟	khvh
台	lv
怡	lv
詒	lv
貽	lv
頤	nglv
飴	lv
𦣞	nglv
㠯	lvq
以	lvq
已	nglvq
苡	lvq
异	nglvh
異	nglvh
弋	lvk
翊	nglvk
翌	nglvk
翼	nglvk
劾	ɡvvk
黑	mhvvk
克	khvvk
刻	khvvk
阸	qreeh
隘	qreeh
厄	qreek
戹	qreek
搤	qreek
軛	qreek
阨	qreek
阸	qreek
隘	qreek
厓	ngree
崖	ngree
涯	ngree
鞋	ɡree
鞵	ɡree
蟹	ɡreeq
解	ɡreeq
邂	ɡreeh
核	ɡrvvk
覈	ɡrvvk
佳	kree
街	kree
解	kreeq
隔	kreek
革	krvvk
鬲	kreek
鶂	ngeek
鷁	ngeek
鷊	ngeek
鬩	ngheek
擊	keek
激	keewk
椅	qaj
猗	qaj
倚	qajq
椅	qajq
儀	ngaj
宜	ngaj
蛾	ngajq
螘	ngajq
蟻	ngajq
錡	ngajq
義	ngajh
議	ngajh
䖒	nghal
犧	nghaj
羲	nghaj
戲	nghalh
奇	ɡaj
錡	ɡaj
騎	ɡaj
伎	ɡreq
技	ɡreq
踦	ɡajq
芰	ɡreh
騎	ɡajh
奇	kaj
羈	kraj
掎	kajq
寄	kajh
綺	khajq
匜	laj
移	laj
蛇	laj
迻	laj
胣	lajq
易	leh
縊	qeh
歧	ɡe
疧	ɡe
祇	ɡe
企	kheq
企	kheh
阿	qaaj
俄	ngaaj
峩	ngaaj
莪	ngaaj
蛾	ngaaj
鵝	ngaaj
我	ngaajq
餓	ngaajh
何	ɡaaj
河	ɡaaj
荷	ɡaaj
賀	ɡaajh
呵	haaj
訶	haaj
柯	kaaj
歌	kaaj
个	kaajh
個	kaajh
箇	kaajh
可	khaajq
鴉	qraa
啞	qraaq
亞	qraah
牙	ngraa
芽	ngraa
庌	ngraaq
雅	ngraaq
迓	ngraah
額	ngraak
瑕	ɡraa
蝦	ɡraa
遐	ɡraa
騢	ɡraa
下	ɡraaq
厦	ɡraaq
夏	ɡraaq
廈	ɡraaq
下	ɡraah
夏	ɡraah
暇	ɡraah
芐	ɡraah
襾	hraaq
嚇	hraah
嚇	hraak
赫	hraak
加	kraaj
嘉	kraaj
家	kraa
珈	kraaj
葭	kraa
豭	kraa
假	kraaq
叚	kraaq
嘏	kraaq
斝	kraaq
價	kraah
嫁	kraah
稼	kraah
賈	kraah
駕	kraajh
格	kraak
𢓜	kraak
客	khraak
屰	ngrak
逆	ngrak
虩	hrak
屐	ɡrek
丮	krak
戟	krak
綌	khrak
郤	khrak
隙	khrak
𡭴	khrak
邪	gla
也	leq
埜	laq
野	laq
𡐨	laq
夜	nglah
亦	nglak
奕	nglak
弈	nglak
懌	lak
掖	nglak
斁	lak
易	lek
液	nglak
繹	lak
腋	nglak
蜴	lek
譯	lak
驛	lak
嗌	qek
益	qek
膉	qek
狸	rv
貍	rv
釐	rv
李	rvq
理	rvq
裏	rvq
里	rvq
鯉	rvq
吏	rvh
力	rvk
俟	mrvq
涘	mrvq
使	srvq
史	srvq
使	srvq
嗇	srvk
穡	srvk
色	srvk
仕	mrvq
士	mrvq
事	mrvh
緇	crv
仄	crvk
側	crvk
夨	crvk
昃	crvk
𠨮	crvk
𣅔	crvk
𣅛	crvk
廁	chrvh
測	chrvk
畟	tshrvk
祠	slv
詞	slv
辭	slv
似	slvq
巳	glvq
汜	glvq
祀	glvq
禩	glvq
耜	slvq
鈶	slvq
嗣	slvh
寺	sdvh
食	slvh
飤	slvh
飼	slvh
司	lhv
思	sv
絲	sv
枲	lhvq
息	svk
熄	svk
慈	dzv
字	dzvh
兹	tsv
滋	tsv
茲	tsv
鼒	cv
子	tsvq
梓	cvq
耔	tsvq
即	cik
稷	tsvk
勒	rvvk
肋	rvvk
塞	svvk
賊	zvvk
則	cvvk
洒	sreq
灑	sreq
纚	sreq
曬	sreh
灑	sreh
柴	zr⁽ˁ⁾e
祡	zr⁽ˁ⁾e
債	creeh
責	creeh
簀	creek
責	creek
差	tshraj
册	chreek
栅	chreek
策	chreek
䟏	reewk
䰜	reek
曆	reek
櫟	reewk
歷	reek
礫	reewk
轢	reewk
鬲	reek
𩰲	reek
晳	seek
析	seek
皙	seek
錫	lheek
寂	dziiwk
績	ceek
慼	tshiiwk
戚	tshiiwk
鏚	tshiiwk
縭	raj
纚	re
罹	raj
離	raj
詈	rajh
離	rajh
釃	sre
灑	sreq
